order_details_id	order_id	order_date	order_time	order_datetime	item_id	item_name	category	price	price_range
1	1	2023-01-01	11:38:36	2023-01-01 11:38:36	109	Korean Beef Bowl	Asian	17.95	$10 or more
2	2	2023-01-01	11:57:40	2023-01-01 11:57:40	108	Tofu Pad Thai	Asian	14.50	$10 or more
3	2	2023-01-01	11:57:40	2023-01-01 11:57:40	124	Spaghetti	Italian	14.50	$10 or more
4	2	2023-01-01	11:57:40	2023-01-01 11:57:40	117	Chicken Burrito	Mexican	12.95	$10 or more
5	2	2023-01-01	11:57:40	2023-01-01 11:57:40	129	Mushroom Ravioli	Italian	15.50	$10 or more
6	2	2023-01-01	11:57:40	2023-01-01 11:57:40	106	French Fries	American	7.00	Under $10
7	3	2023-01-01	12:12:28	2023-01-01 12:12:28	117	Chicken Burrito	Mexican	12.95	$10 or more
8	3	2023-01-01	12:12:28	2023-01-01 12:12:28	119	Chicken Torta	Mexican	11.95	$10 or more
9	4	2023-01-01	12:16:31	2023-01-01 12:16:31	117	Chicken Burrito	Mexican	12.95	$10 or more
10	5	2023-01-01	12:21:30	2023-01-01 12:21:30	117	Chicken Burrito	Mexican	12.95	$10 or more
11	6	2023-01-01	12:29:36	2023-01-01 12:29:36	101	Hamburger	American	12.95	$10 or more
12	6	2023-01-01	12:29:36	2023-01-01 12:29:36	114	Potstickers	Asian	9.00	Under $10
13	7	2023-01-01	12:50:37	2023-01-01 12:50:37	123	Chips & Guacamole	Mexican	9.00	Under $10
14	8	2023-01-01	12:51:37	2023-01-01 12:51:37	123	Chips & Guacamole	Mexican	9.00	Under $10
15	9	2023-01-01	12:52:01	2023-01-01 12:52:01	108	Tofu Pad Thai	Asian	14.50	$10 or more
16	9	2023-01-01	12:52:01	2023-01-01 12:52:01	126	Fettuccine Alfredo	Italian	14.50	$10 or more
17	9	2023-01-01	12:52:01	2023-01-01 12:52:01	110	Pork Ramen	Asian	17.95	$10 or more
18	9	2023-01-01	12:52:01	2023-01-01 12:52:01	117	Chicken Burrito	Mexican	12.95	$10 or more
19	9	2023-01-01	12:52:01	2023-01-01 12:52:01	117	Chicken Burrito	Mexican	12.95	$10 or more
20	9	2023-01-01	12:52:01	2023-01-01 12:52:01	129	Mushroom Ravioli	Italian	15.50	$10 or more
21	9	2023-01-01	12:52:01	2023-01-01 12:52:01	122	Chips & Salsa	Mexican	7.00	Under $10
22	9	2023-01-01	12:52:01	2023-01-01 12:52:01	130	Shrimp Scampi	Italian	19.95	$10 or more
23	9	2023-01-01	12:52:01	2023-01-01 12:52:01	132	Eggplant Parmesan	Italian	16.95	$10 or more
24	10	2023-01-01	13:00:15	2023-01-01 13:00:15	129	Mushroom Ravioli	Italian	15.50	$10 or more
25	10	2023-01-01	13:00:15	2023-01-01 13:00:15	105	Mac & Cheese	American	7.00	Under $10
26	11	2023-01-01	13:02:59	2023-01-01 13:02:59	101	Hamburger	American	12.95	$10 or more
27	11	2023-01-01	13:02:59	2023-01-01 13:02:59	102	Cheeseburger	American	13.95	$10 or more
28	11	2023-01-01	13:02:59	2023-01-01 13:02:59	102	Cheeseburger	American	13.95	$10 or more
29	11	2023-01-01	13:02:59	2023-01-01 13:02:59	113	Edamame	Asian	5.00	Under $10
30	12	2023-01-01	13:04:41	2023-01-01 13:04:41	102	Cheeseburger	American	13.95	$10 or more
31	12	2023-01-01	13:04:41	2023-01-01 13:04:41	102	Cheeseburger	American	13.95	$10 or more
32	12	2023-01-01	13:04:41	2023-01-01 13:04:41	104	Veggie Burger	American	10.50	$10 or more
33	12	2023-01-01	13:04:41	2023-01-01 13:04:41	117	Chicken Burrito	Mexican	12.95	$10 or more
34	13	2023-01-01	13:11:55	2023-01-01 13:11:55	129	Mushroom Ravioli	Italian	15.50	$10 or more
35	14	2023-01-01	13:14:19	2023-01-01 13:14:19	114	Potstickers	Asian	9.00	Under $10
36	15	2023-01-01	13:33:00	2023-01-01 13:33:00	107	Orange Chicken	Asian	16.50	$10 or more
37	15	2023-01-01	13:33:00	2023-01-01 13:33:00	124	Spaghetti	Italian	14.50	$10 or more
38	15	2023-01-01	13:33:00	2023-01-01 13:33:00	121	Cheese Quesadillas	Mexican	10.50	$10 or more
39	15	2023-01-01	13:33:00	2023-01-01 13:33:00	114	Potstickers	Asian	9.00	Under $10
40	16	2023-01-01	13:34:07	2023-01-01 13:34:07	125	Spaghetti & Meatballs	Italian	17.95	$10 or more
41	16	2023-01-01	13:34:07	2023-01-01 13:34:07	111	California Roll	Asian	11.95	$10 or more
42	16	2023-01-01	13:34:07	2023-01-01 13:34:07	106	French Fries	American	7.00	Under $10
43	17	2023-01-01	13:53:00	2023-01-01 13:53:00	101	Hamburger	American	12.95	$10 or more
44	17	2023-01-01	13:53:00	2023-01-01 13:53:00	116	Steak Tacos	Mexican	13.95	$10 or more
45	17	2023-01-01	13:53:00	2023-01-01 13:53:00	124	Spaghetti	Italian	14.50	$10 or more
46	17	2023-01-01	13:53:00	2023-01-01 13:53:00	125	Spaghetti & Meatballs	Italian	17.95	$10 or more
47	17	2023-01-01	13:53:00	2023-01-01 13:53:00	117	Chicken Burrito	Mexican	12.95	$10 or more
48	17	2023-01-01	13:53:00	2023-01-01 13:53:00	127	Meat Lasagna	Italian	17.95	$10 or more
49	17	2023-01-01	13:53:00	2023-01-01 13:53:00	128	Cheese Lasagna	Italian	15.50	$10 or more
50	17	2023-01-01	13:53:00	2023-01-01 13:53:00	129	Mushroom Ravioli	Italian	15.50	$10 or more
51	17	2023-01-01	13:53:00	2023-01-01 13:53:00	118	Steak Burrito	Mexican	14.95	$10 or more
52	17	2023-01-01	13:53:00	2023-01-01 13:53:00	131	Chicken Parmesan	Italian	17.95	$10 or more
53	18	2023-01-01	13:57:08	2023-01-01 13:57:08	111	California Roll	Asian	11.95	$10 or more
54	19	2023-01-01	13:59:09	2023-01-01 13:59:09	110	Pork Ramen	Asian	17.95	$10 or more
55	19	2023-01-01	13:59:09	2023-01-01 13:59:09	120	Steak Torta	Mexican	13.95	$10 or more
56	20	2023-01-01	14:03:08	2023-01-01 14:03:08	107	Orange Chicken	Asian	16.50	$10 or more
57	20	2023-01-01	14:03:08	2023-01-01 14:03:08	124	Spaghetti	Italian	14.50	$10 or more
58	21	2023-01-01	14:14:29	2023-01-01 14:14:29	110	Pork Ramen	Asian	17.95	$10 or more
59	22	2023-01-01	14:16:26	2023-01-01 14:16:26	124	Spaghetti	Italian	14.50	$10 or more
60	22	2023-01-01	14:16:26	2023-01-01 14:16:26	110	Pork Ramen	Asian	17.95	$10 or more
61	22	2023-01-01	14:16:26	2023-01-01 14:16:26	105	Mac & Cheese	American	7.00	Under $10
62	23	2023-01-01	14:19:03	2023-01-01 14:19:03	105	Mac & Cheese	American	7.00	Under $10
63	24	2023-01-01	14:23:01	2023-01-01 14:23:01	101	Hamburger	American	12.95	$10 or more
64	24	2023-01-01	14:23:01	2023-01-01 14:23:01	110	Pork Ramen	Asian	17.95	$10 or more
65	24	2023-01-01	14:23:01	2023-01-01 14:23:01	113	Edamame	Asian	5.00	Under $10
66	24	2023-01-01	14:23:01	2023-01-01 14:23:01	119	Chicken Torta	Mexican	11.95	$10 or more
67	25	2023-01-01	14:44:44	2023-01-01 14:44:44	120	Steak Torta	Mexican	13.95	$10 or more
68	25	2023-01-01	14:44:44	2023-01-01 14:44:44	106	French Fries	American	7.00	Under $10
69	26	2023-01-01	14:54:26	2023-01-01 14:54:26	108	Tofu Pad Thai	Asian	14.50	$10 or more
70	26	2023-01-01	14:54:26	2023-01-01 14:54:26	132	Eggplant Parmesan	Italian	16.95	$10 or more
71	27	2023-01-01	15:11:17	2023-01-01 15:11:17	101	Hamburger	American	12.95	$10 or more
72	27	2023-01-01	15:11:17	2023-01-01 15:11:17	108	Tofu Pad Thai	Asian	14.50	$10 or more
73	27	2023-01-01	15:11:17	2023-01-01 15:11:17	131	Chicken Parmesan	Italian	17.95	$10 or more
74	28	2023-01-01	15:35:46	2023-01-01 15:35:46	103	Hot Dog	American	9.00	Under $10
75	29	2023-01-01	15:41:01	2023-01-01 15:41:01	126	Fettuccine Alfredo	Italian	14.50	$10 or more
76	30	2023-01-01	15:41:25	2023-01-01 15:41:25	106	French Fries	American	7.00	Under $10
77	31	2023-01-01	15:50:18	2023-01-01 15:50:18	129	Mushroom Ravioli	Italian	15.50	$10 or more
78	31	2023-01-01	15:50:18	2023-01-01 15:50:18	113	Edamame	Asian	5.00	Under $10
79	32	2023-01-01	15:53:18	2023-01-01 15:53:18	107	Orange Chicken	Asian	16.50	$10 or more
80	32	2023-01-01	15:53:18	2023-01-01 15:53:18	126	Fettuccine Alfredo	Italian	14.50	$10 or more
81	32	2023-01-01	15:53:18	2023-01-01 15:53:18	110	Pork Ramen	Asian	17.95	$10 or more
82	32	2023-01-01	15:53:18	2023-01-01 15:53:18	117	Chicken Burrito	Mexican	12.95	$10 or more
83	33	2023-01-01	15:54:08	2023-01-01 15:54:08	101	Hamburger	American	12.95	$10 or more
84	33	2023-01-01	15:54:08	2023-01-01 15:54:08	126	Fettuccine Alfredo	Italian	14.50	$10 or more
85	34	2023-01-01	16:21:21	2023-01-01 16:21:21	114	Potstickers	Asian	9.00	Under $10
86	35	2023-01-01	16:32:04	2023-01-01 16:32:04	126	Fettuccine Alfredo	Italian	14.50	$10 or more
87	35	2023-01-01	16:32:04	2023-01-01 16:32:04	112	Salmon Roll	Asian	14.95	$10 or more
88	35	2023-01-01	16:32:04	2023-01-01 16:32:04	113	Edamame	Asian	5.00	Under $10
89	35	2023-01-01	16:32:04	2023-01-01 16:32:04	106	French Fries	American	7.00	Under $10
90	36	2023-01-01	16:54:09	2023-01-01 16:54:09	101	Hamburger	American	12.95	$10 or more
91	36	2023-01-01	16:54:09	2023-01-01 16:54:09	108	Tofu Pad Thai	Asian	14.50	$10 or more
92	37	2023-01-01	16:56:09	2023-01-01 16:56:09	117	Chicken Burrito	Mexican	12.95	$10 or more
93	37	2023-01-01	16:56:09	2023-01-01 16:56:09	129	Mushroom Ravioli	Italian	15.50	$10 or more
94	38	2023-01-01	17:03:00	2023-01-01 17:03:00	109	Korean Beef Bowl	Asian	17.95	$10 or more
95	38	2023-01-01	17:03:00	2023-01-01 17:03:00	110	Pork Ramen	Asian	17.95	$10 or more
96	39	2023-01-01	17:07:23	2023-01-01 17:07:23	117	Chicken Burrito	Mexican	12.95	$10 or more
97	40	2023-01-01	17:14:36	2023-01-01 17:14:36	125	Spaghetti & Meatballs	Italian	17.95	$10 or more
98	40	2023-01-01	17:14:36	2023-01-01 17:14:36	105	Mac & Cheese	American	7.00	Under $10
99	41	2023-01-01	17:15:20	2023-01-01 17:15:20	125	Spaghetti & Meatballs	Italian	17.95	$10 or more
100	41	2023-01-01	17:15:20	2023-01-01 17:15:20	126	Fettuccine Alfredo	Italian	14.50	$10 or more
101	42	2023-01-01	17:28:09	2023-01-01 17:28:09	107	Orange Chicken	Asian	16.50	$10 or more
102	42	2023-01-01	17:28:09	2023-01-01 17:28:09	124	Spaghetti	Italian	14.50	$10 or more
103	42	2023-01-01	17:28:09	2023-01-01 17:28:09	129	Mushroom Ravioli	Italian	15.50	$10 or more
104	42	2023-01-01	17:28:09	2023-01-01 17:28:09	118	Steak Burrito	Mexican	14.95	$10 or more
105	43	2023-01-01	17:38:34	2023-01-01 17:38:34	103	Hot Dog	American	9.00	Under $10
106	43	2023-01-01	17:38:34	2023-01-01 17:38:34	117	Chicken Burrito	Mexican	12.95	$10 or more
107	43	2023-01-01	17:38:34	2023-01-01 17:38:34	118	Steak Burrito	Mexican	14.95	$10 or more
108	44	2023-01-01	17:54:20	2023-01-01 17:54:20	130	Shrimp Scampi	Italian	19.95	$10 or more
109	45	2023-01-01	17:55:48	2023-01-01 17:55:48	125	Spaghetti & Meatballs	Italian	17.95	$10 or more
110	45	2023-01-01	17:55:48	2023-01-01 17:55:48	109	Korean Beef Bowl	Asian	17.95	$10 or more
111	45	2023-01-01	17:55:48	2023-01-01 17:55:48	106	French Fries	American	7.00	Under $10
112	46	2023-01-01	18:25:51	2023-01-01 18:25:51	104	Veggie Burger	American	10.50	$10 or more
113	46	2023-01-01	18:25:51	2023-01-01 18:25:51	108	Tofu Pad Thai	Asian	14.50	$10 or more
114	46	2023-01-01	18:25:51	2023-01-01 18:25:51	106	French Fries	American	7.00	Under $10
115	47	2023-01-01	18:26:34	2023-01-01 18:26:34	105	Mac & Cheese	American	7.00	Under $10
116	47	2023-01-01	18:26:34	2023-01-01 18:26:34	132	Eggplant Parmesan	Italian	16.95	$10 or more
117	48	2023-01-01	18:26:42	2023-01-01 18:26:42	104	Veggie Burger	American	10.50	$10 or more
118	48	2023-01-01	18:26:42	2023-01-01 18:26:42	126	Fettuccine Alfredo	Italian	14.50	$10 or more
119	48	2023-01-01	18:26:42	2023-01-01 18:26:42	119	Chicken Torta	Mexican	11.95	$10 or more
120	48	2023-01-01	18:26:42	2023-01-01 18:26:42	122	Chips & Salsa	Mexican	7.00	Under $10
121	49	2023-01-01	18:33:00	2023-01-01 18:33:00	120	Steak Torta	Mexican	13.95	$10 or more
123	51	2023-01-01	18:48:28	2023-01-01 18:48:28	101	Hamburger	American	12.95	$10 or more
124	51	2023-01-01	18:48:28	2023-01-01 18:48:28	112	Salmon Roll	Asian	14.95	$10 or more
125	52	2023-01-01	18:53:02	2023-01-01 18:53:02	109	Korean Beef Bowl	Asian	17.95	$10 or more
126	52	2023-01-01	18:53:02	2023-01-01 18:53:02	129	Mushroom Ravioli	Italian	15.50	$10 or more
127	52	2023-01-01	18:53:02	2023-01-01 18:53:02	122	Chips & Salsa	Mexican	7.00	Under $10
128	53	2023-01-01	18:54:17	2023-01-01 18:54:17	112	Salmon Roll	Asian	14.95	$10 or more
129	53	2023-01-01	18:54:17	2023-01-01 18:54:17	123	Chips & Guacamole	Mexican	9.00	Under $10
